time,energy,event_type,wattmin,epower
6e-05,0.09,s,2100,1500
4.00011,7920.18,s,2100,1980
5.00011,9960.18,e,2100,2040
5.00011,9960.18,s,2100,2304
6.00011,12000.2,e,2100,2040
12.0001,23880.1,e,2100,1980
12.0003,23880.4,s,2100,1500
14.0003,27360.4,e,2100,1740
15.0003,28860.4,s,2100,1500
17.0003,32340.5,s,2100,1740
17.0003,32340.5,s,2100,1920
20.0003,38640.5,e,2100,2100
20.0004,38640.6,s,2100,1920
27.0003,52920.5,e,2100,2040
27.0005,52920.7,s,2100,1860
27.0005,52920.8,s,2100,1980
30.0003,59220.4,e,2100,2100
30.0003,59220.5,s,2100,1860
33.0003,65340.5,e,2100,2040
34.0004,67200.5,s,2100,1860
34.0004,67200.6,s,2100,2040
35.0004,69300.5,e,2100,2100
36.0004,71280.5,e,2100,1980
37.0004,73080.6,e,2100,1800
37.0004,73080.6,s,2100,1740
40.0004,79020.6,e,2100,1980
40.0005,79020.7,e,2100,1740
41.0004,80640.7,e,2100,1620
41.0005,80640.7,s,2100,1500
41.0005,80640.8,s,2100,1980
42.0005,82680.7,e,2100,2040
42.0005,82680.8,s,2100,1560
42.0005,82680.8,s,2100,1800
43.0005,84780.8,e,2100,2100
43.0005,84780.8,e,2100,NA
44.0005,86580.8,e,2100,1800
44.0006,86580.8,s,2100,1500
45.0006,88260.8,e,2100,1680
45.0006,88260.9,s,2100,1500
46.0006,90120.9,s,2100,1860
47.0006,92040.9,e,2100,1920
47.0006,92040.9,s,2100,1860
48.0006,94020.9,e,2100,1980
48.0006,94020.9,s,2100,1620
49.0006,95700.9,e,2100,1680
49.0006,95700.9,s,2100,NA
49.0006,95701,s,2100,1920
50.0006,97740.9,e,2100,2040
50.0006,97740.9,e,2100,1920
50.0007,97741,s,2100,1620
50.0007,97741,s,2100,1800
51.0006,99840.9,e,2100,2100
51.0007,99841,s,2100,1980
52.0007,101881,e,2100,2040
53.0007,103741,e,2100,1860
54.0007,105301,e,2100,1560
54.0007,105301,s,2100,1500
55.0007,107281,s,2100,1980
56.0007,109381,e,2100,2100
56.0007,109381,s,2100,1620
58.0007,113461,e,2100,2040
58.0007,113461,e,2100,1920
59.0008,114961,s,2100,1500
61.0008,119161,e,2100,2100
61.0008,119161,s,2100,1500
61.0008,119161,s,2100,1860
64.0008,125101,e,2100,1980
64.0008,125101,e,2100,1620
65.0009,126601,s,2100,1500
65.0009,126601,s,2100,1860
67.0009,130681,e,2100,2040
67.0009,130681,e,2100,1680
68.0009,132181,s,2100,1500
78.0009,152581,e,2100,2040
78.0011,152582,s,2100,1500
78.0011,152582,s,2100,1800
79.0011,154622,e,2100,2040
80.0011,156422,e,2100,1800
80.0011,156422,s,2100,1500
81.0011,158162,s,2100,1740
82.0011,160082,e,2100,1920
82.0011,160082,s,2100,NA
83.0011,162002,e,2100,1920
83.0011,162002,s,2100,1680
84.0011,164102,e,2100,2100
84.0012,164102,s,2100,1680
86.0012,167822,e,2100,1860
88.0012,171182,s,2100,1680
89.0012,173102,s,2100,1920
91.0012,177302,e,2100,2100
91.0013,177302,s,2100,1860
92.0012,179342,e,2100,2040
94.0013,183062,e,2100,1860
94.0013,183062,s,2100,1680
95.0011,184982,e,2100,1920
95.0013,184982,e,2100,1740
95.0013,184982,s,2100,1500
97.0013,189182,e,2100,2100
97.0014,189182,s,2100,1500
97.0014,189182,s,2100,1620
97.0014,189182,s,2100,1980
99.0014,193382,e,2100,2100
99.0014,193382,s,2100,1740
99.0014,193382,s,2100,1800
100.001,195422,e,2100,2040
101.001,197342,s,2100,1920
102.001,199442,e,2100,2100
102.001,199442,e,2100,2040
103.001,201242,s,2100,1800
104.001,203342,e,2100,2100
104.001,203342,s,2100,1800
104.001,203342,s,2100,1920
106.001,207542,e,2100,2100
106.001,207542,s,2100,1980
107.001,209582,e,2100,2040
107.001,209582,e,2100,1920
107.001,209582,s,2100,1740
109.001,213302,e,2100,1860
110.001,215102,e,2100,1800
110.002,215102,s,2100,1680
111.002,217082,e,2100,1980
111.002,217082,s,2100,1680
112.001,219182,e,2100,2100
126.002,246062,e,2100,1920
126.002,246062,s,2100,1500
140.002,275462,e,2100,2100
140.002,275462,s,2100,1500
