time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
6e-05,0,0,0,0,10
3.00006,0,0,0,10,0
3.00008,0,0,0,1,9
3.00009,0,0,0,0,10
4.00008,0,0,0,9,1
4.00011,0,0,0,3,7
5.00011,0,0,0,9,1
6.00014,0,0,0,7,3
7.00014,0,0,0,9,1
8.00017,0,0,0,2,8
9.00017,0,0,0,0,10
10.0002,0,0,0,2,8
11.0002,0,0,0,9,1
12.0002,0,0,0,5,5
13.0002,0,0,0,3,7
16.0002,0,0,0,5,5
17.0003,0,0,0,1,9
17.0003,0,0,0,0,10
18.0001,0,0,0,1,9
19.0003,0,0,0,5,5
20.0001,0,0,0,2,8
20.0002,0,0,0,0,10
20.0003,0,0,0,1,9
21.0003,0,0,0,0,10
23.0002,0,0,0,2,8
23.0002,0,0,0,0,10
23.0003,0,0,0,1,9
26.0002,0,0,0,3,7
26.0004,0,0,0,0,10
27.0002,0,0,0,4,6
27.0002,0,0,0,0,10
28.0004,0,0,0,3,7
29.0002,0,0,0,7,3
29.0004,0,0,0,3,7
30.0001,0,0,0,6,4
30.0005,0,0,0,1,9
32.0004,0,0,0,5,5
32.0004,0,0,0,10,0
33.0005,0,0,0,3,7
35.0005,0,0,0,10,0
36.0005,0,0,0,6,4
37.0005,0,0,0,0,10
39.0005,0,0,0,6,4
39.0006,0,0,0,0,10
51.0005,0,0,0,4,6
51.0006,0,0,0,10,0
51.0006,0,0,0,6,4
51.0006,0,0,0,5,5
51.0006,0,0,0,1,9
52.0006,0,0,0,5,5
52.0006,0,0,0,9,1
52.0006,0,0,0,6,4
53.0006,0,0,0,7,3
53.0006,0,0,0,3,7
53.0006,0,0,0,2,8
56.0006,0,0,0,3,7
57.0007,0,0,0,0,10
63.0006,0,0,0,4,6
64.0007,0,0,0,1,9
65.0007,0,0,0,4,6
66.0006,0,0,0,7,3
66.0007,0,0,0,1,9
68.0007,0,0,0,7,3
70.0008,0,0,0,0,10
71.0008,0,0,0,7,3
71.0008,0,0,0,1,9
72.0007,0,0,0,4,6
72.0008,0,0,0,2,8
74.0008,0,0,0,8,2
74.0008,0,0,0,10,0
79.0009,0,0,0,2,8
79.0009,0,0,0,1,9
81.0009,0,0,0,2,8
82.0009,0,0,0,10,0
83.001,0,0,0,2,8
85.001,0,0,0,10,0
86.001,0,0,0,2,8
89.001,0,0,0,10,0
90.0011,0,0,0,2,8
90.0011,0,0,0,0,10
91.0011,0,0,0,8,2
91.0011,0,0,0,0,10
92.0011,0,0,0,2,8
98.0012,0,0,0,1,9
101.001,0,0,0,9,1
101.001,0,0,0,10,0
101.001,0,0,0,1,9
104.001,0,0,0,10,0
104.001,0,0,0,5,5
104.001,0,0,0,0,10
107.001,0,0,0,5,5
107.001,0,0,0,1,9
109.001,0,0,0,5,5
110.001,0,0,0,1,9
111.001,0,0,0,5,5
112.001,0,0,0,2,8
114.001,0,0,0,5,5
115.001,0,0,0,10,0
115.001,0,0,0,1,9
116.001,0,0,0,10,0
117.001,0,0,0,1,9
118.001,0,0,0,10,0
119.002,0,0,0,1,9
122.002,0,0,0,10,0
123.002,0,0,0,1,9
134.002,0,0,0,10,0
134.002,0,0,0,1,9
135.002,0,0,0,0,10
136.002,0,0,0,9,1
136.002,0,0,0,10,0
136.002,0,0,0,3,7
137.002,0,0,0,0,10
138.002,0,0,0,3,7
139.002,0,0,0,10,0
140.002,0,0,0,3,7
141.002,0,0,0,0,10
143.002,0,0,0,7,3
143.002,0,0,0,10,0
144.002,0,0,0,0,10
145.002,0,0,0,10,0
145.002,0,0,0,1,9
147.002,0,0,0,10,0
148.002,0,0,0,0,10
149.002,0,0,0,10,0
149.002,0,0,0,2,8
150.002,0,0,0,10,0
151.002,0,0,0,0,10
154.002,0,0,0,10,0
160.002,0,0,0,0,10
161.002,0,0,0,10,0
161.002,0,0,0,4,6
161.002,0,0,0,2,8
162.002,0,0,0,8,2
163.002,0,0,0,10,0
163.002,0,0,0,2,8
175.002,0,0,0,10,0
176.002,0,0,0,3,7
176.002,0,0,0,0,10
178.002,0,0,0,7,3
178.002,0,0,0,3,7
180.002,0,0,0,1,9
186.002,0,0,0,4,6
187.002,0,0,0,1,9
188.002,0,0,0,4,6
192.002,0,0,0,6,4
193.002,0,0,0,10,0
193.003,0,0,0,5,5
193.003,0,0,0,0,10
195.003,0,0,0,5,5
195.003,0,0,0,0,10
196.003,0,0,0,5,5
196.003,0,0,0,0,10
197.003,0,0,0,5,5
197.003,0,0,0,0,10
198.003,0,0,0,5,5
199.003,0,0,0,10,0
199.003,0,0,0,4,6
199.003,0,0,0,0,10
201.003,0,0,0,6,4
201.003,0,0,0,0,10
202.003,0,0,0,6,4
202.003,0,0,0,0,10
210.003,0,0,0,4,6
211.003,0,0,0,2,8
211.003,0,0,0,1,9
212.003,0,0,0,3,7
212.003,0,0,0,2,8
213.003,0,0,0,3,7
215.003,0,0,0,4,6
217.003,0,0,0,10,0
217.003,0,0,0,0,10
218.003,0,0,0,10,0
218.003,0,0,0,3,7
218.003,0,0,0,2,8
219.003,0,0,0,3,7
222.003,0,0,0,1,9
223.003,0,0,0,3,7
227.003,0,0,0,0,10
230.003,0,0,0,3,7
233.003,0,0,0,10,0
233.003,0,0,0,1,9
234.003,0,0,0,10,0
235.003,0,0,0,2,8
237.003,0,0,0,10,0
238.003,0,0,0,1,9
239.003,0,0,0,10,0
243.003,0,0,0,6,4
246.003,0,0,0,10,0
246.003,0,0,0,5,5
247.003,0,0,0,0,10
249.003,0,0,0,5,5
252.003,0,0,0,0,10
255.003,0,0,0,5,5
255.003,0,0,0,0,10
257.003,0,0,0,5,5
257.003,0,0,0,3,7
257.003,0,0,0,2,8
257.003,0,0,0,1,9
259.003,0,0,0,2,8
260.003,0,0,0,7,3
260.003,0,0,0,8,2
260.003,0,0,0,1,9
261.003,0,0,0,8,2
261.003,0,0,0,4,6
264.003,0,0,0,8,2
265.003,0,0,0,2,8
265.003,0,0,0,0,10
266.003,0,0,0,6,4
266.003,0,0,0,5,5
267.003,0,0,0,7,3
267.003,0,0,0,8,2
