clipfrac,total_timesteps,time_elapsed,fps,policy_loss,eplenmean,policy_entropy,approxkl,nupdates,value_loss,explained_variance,serial_timesteps,eprewmean
1.5258789e-05,16384,13.906628370285034,1178,-0.0003884565,967.3125,2.4847753,0.0001389303,1,1475.9456,-0.007158041000366211,2048,-22017.6281706875
0.012680054,32768,25.967971563339233,1363,-0.00011525863,960.25,2.483278,0.00039290165,2,1525.0295,0.008407354354858398,4096,-21694.170810375
0.012893677,49152,38.04068899154663,1357,-0.00029138097,985.2916666666666,2.483207,0.00075774296,3,1571.055,0.01129680871963501,6144,-22631.841521979164
0.035827637,65536,50.03076100349426,1366,-0.00036285457,996.609375,2.481791,0.0010739487,4,1645.2546,0.02339094877243042,8192,-23191.027230546875
0.028366089,81920,62.35150194168091,1329,-0.0006893708,988.8,2.4826102,0.0010127001,5,1422.8823,0.033736228942871094,10240,-22432.26971525
0.080566406,98304,74.64304518699646,1333,-0.0012945257,980.9479166666666,2.4799752,0.0016255854,6,1340.2454,0.049092650413513184,12288,-22099.00962923958
0.02861023,114688,87.01763582229614,1324,-0.00054564397,988.67,2.479483,0.0009535708,7,1308.625,0.057123661041259766,14336,-21929.3126219
0.03793335,131072,99.3677990436554,1326,-0.0009666134,983.53,2.4792094,0.0011591369,8,1611.686,0.06352025270462036,16384,-21625.70217103
0.051956177,147456,111.70442414283752,1328,-0.0011128187,986.39,2.4770625,0.0014779902,9,1494.1086,0.085629403591156,18432,-22052.636104760004
0.07312012,163840,124.49480986595154,1281,-0.00028596952,948.73,2.473589,0.0014646121,10,1011.27637,0.1365700364112854,20480,-20386.50223331
0.06593323,180224,136.8886535167694,1322,-0.0007427085,944.98,2.4738195,0.0014128779,11,1377.6754,0.15044766664505005,22528,-20214.500891480002
0.0635376,196608,149.03513026237488,1348,-0.001187335,948.64,2.4718447,0.0014819832,12,1368.1361,0.16893696784973145,24576,-20168.35928991
0.059005737,212992,161.52213525772095,1312,-0.0006374866,956.63,2.4699225,0.0014720907,13,1165.5599,0.22092503309249878,26624,-20370.00284683
0.09967041,229376,173.84298086166382,1329,0.00030475156,961.76,2.4693556,0.0016928005,14,1526.5956,0.2369908094406128,28672,-20363.04537013
0.1368103,245760,186.35966849327087,1309,0.00062169833,959.22,2.466228,0.0022086836,15,1021.035,0.3406354784965515,30720,-19849.536021649998
0.08969116,262144,198.72763395309448,1324,-0.0001653951,967.25,2.4598846,0.0017128056,16,1534.1097,0.2989736795425415,32768,-19996.368931409997
0.23814392,278528,211.22591042518616,1310,0.0057487814,977.03,2.459198,0.0049312823,17,1686.2701,0.32130926847457886,34816,-20985.4838951
0.25172424,294912,223.43128728866577,1342,0.004637705,983.38,2.4545014,0.004975489,18,1538.0712,0.4426024556159973,36864,-21347.34729804
0.21162415,311296,236.34337449073792,1268,0.0044660587,965.42,2.4456966,0.004184826,19,1413.8545,0.5559608340263367,38912,-21311.45589795
0.27668762,327680,248.72791528701782,1322,0.0039882334,967.19,2.4445653,0.004442172,20,1397.2367,0.6077869236469269,40960,-21380.67306629
0.20225525,344064,261.02853631973267,1332,0.0027036727,970.21,2.4333205,0.0032521554,21,1446.521,0.6424393653869629,43008,-21531.315247459992
0.20033264,360448,273.31375908851624,1333,0.0025154734,977.71,2.4213033,0.0033998298,22,1524.7479,0.6545232534408569,45056,-22016.462174360004
0.2802887,376832,285.6448516845703,1328,0.007805247,983.79,2.4103029,0.0063145626,23,1361.2861,0.7097566723823547,47104,-21514.992987389996
0.4162445,393216,297.98915910720825,1327,0.013545639,981.51,2.3992069,0.008999394,24,1477.8068,0.7408367395401001,49152,-21486.305988060005
0.28419495,409600,310.3569130897522,1324,0.0055326973,988.96,2.387,0.0058176564,25,1429.8333,0.7581908702850342,51200,-21445.904619259996
0.1648407,425984,322.7061457633972,1326,0.0018263217,995.39,2.369001,0.0028169951,26,1581.185,0.782359167933464,53248,-21502.392250300003
0.16693115,442368,335.214111328125,1309,0.0018469323,994.32,2.3730252,0.0033225787,27,1263.1119,0.8194055259227753,55296,-21752.87768017
0.4550171,458752,347.81275057792664,1300,0.015545922,986.48,2.359161,0.01035963,28,1290.3992,0.8456084281206131,57344,-21115.47070897
0.40390015,475136,360.2735126018524,1314,0.018274447,976.82,2.3671951,0.012088177,29,1427.9075,0.8467704653739929,59392,-21000.42179003
0.37667847,491520,372.98397517204285,1289,0.017097738,970.32,2.3786333,0.012729739,30,1055.789,0.8961819559335709,61440,-20428.915043599998
0.25961304,507904,385.34510111808777,1325,0.007960374,965.1,2.3853176,0.0064875884,31,1273.4308,0.9069577157497406,63488,-20014.11425074
0.39526367,524288,397.6927127838135,1326,0.01983485,963.48,2.4024415,0.012566406,32,1528.8959,0.8978002518415451,65536,-19935.01386196
0.49086,540672,409.7591724395752,1357,0.028178552,974.27,2.3380532,0.02501528,33,1478.9568,0.8976073712110519,67584,-20087.712182989995
0.42355347,557056,422.24372267723083,1312,0.025658477,972.74,2.3643339,0.018231269,34,1599.5323,0.9114837497472763,69632,-20394.19561824
0.5388489,573440,434.18075251579285,1372,0.03176063,989.24,2.210931,0.024317106,35,1486.7972,0.9156495183706284,71680,-20907.217990020003
0.5499573,589824,446.53804302215576,1325,0.029974412,988.53,2.2281308,0.020770619,36,1394.3221,0.9229283556342125,73728,-21029.57131736
0.5589447,606208,459.0015754699707,1314,0.04774607,979.4,2.166657,0.036153957,37,1546.9271,0.9249778911471367,75776,-21190.16902213
0.59661865,622592,471.416526556015,1319,0.051322684,983.39,2.1588387,0.038785517,38,1464.0754,0.9394183568656445,77824,-21146.124933050003
0.36509705,638976,483.95729970932007,1306,0.016115796,974.4,1.6298542,0.014259568,39,1681.1705,0.9442370124161243,79872,-21179.2394044
0.23631287,655360,496.56076550483704,1300,0.008859944,974.07,1.74744,0.0056846193,40,1814.8065,0.9382980689406395,81920,-21029.874929210004
0.33950806,671744,509.3114240169525,1285,0.020170141,953.71,1.4459052,0.014457622,41,1539.3895,0.9501118771731853,83968,-20422.65448003
0.5911865,688128,522.1194379329681,1279,0.06877115,960.3,1.3730124,0.05532094,42,2018.327,0.9426358565688133,86016,-21214.870827669998
0.60661316,704512,534.6587681770325,1306,0.05190338,979.01,1.3704759,0.044726722,43,2028.3671,0.9472056664526463,88064,-22272.43998154
0.54737854,720896,547.0670192241669,1320,0.052754488,994.02,1.7082667,0.043445285,44,1711.6981,0.9562644064426422,90112,-22963.729006830006
0.7360077,737280,559.4981737136841,1318,0.1657408,1003.68,1.7924558,0.57064,45,1682.637,0.9620419479906559,92160,-22869.732540309997
0.533432,753664,571.9142770767212,1319,0.047794417,1006.21,1.7504369,0.04640644,46,1668.2277,0.9593637101352215,94208,-23126.54008426
0.37394714,770048,583.793440580368,1379,0.054356866,1036.4,1.4402587,0.12391245,47,1369.5907,0.9678428471088409,96256,-23196.37771495
